"name","category","evas","longitude","latitude"
"Bad Wimpfen-Hohenstadt",6,"08000766",9.138753,49.242537
"Bad Windsheim",6,"08000767",10.412942,49.5066
"Bad Wörishofen",6,"08000768",10.597875,48.005711
"Bad Zwischenahn",4,"08000770",8.003123,53.182547
"Baddeckenstedt",6,"08000772",10.228767,52.08916
"Baden (Kr Verden)",5,"08000773",9.081261,53.007872
"Baden-Baden",3,"08000774",8.190831,48.790327
"Baden-Baden Haueneberstein",6,"08000771",8.209021,48.811907
"Baden-Baden Rebland",6,"08000775",8.146572,48.733844
"Bagenz",6,"08011097",14.426908,51.654888
"Bahnsdorf",6,"08011098",14.112288,51.581745
"Bahrenfeld",4,"08000780",9.910778,53.56006
"Baierbrunn",6,"08000781",11.480027,48.018741
"Baiersdorf",5,"08000783",11.036976,49.656147
"Baitz",6,"08011100",12.685111,52.164149
"Balbersdorf",7,"08000784",12.683064,49.29044
"Baldham",5,"08000785",11.78678,48.099256
"Balduinstein",6,"08000786",7.96760917,50.3473877
"Balgheim",7,"08000787",8.759892,48.065886
"Balgstädt",7,"08011103",11.738454,51.208295
"Balingen (Württ)",4,"08000353",8.850307,48.278469
"Balingen Süd",6,"08000788",8.84634107,48.2689423
"Ballstädt (Kr Gotha)",7,"08011106",10.707666,51.04075
"Baltersweiler",6,"08000792",7.166538,49.493785
"Balve",6,"08000793",7.863071,51.332594
"Bamberg",2,"08000025",10.899489,49.900759
"Bammental",6,"08000794",8.783685,49.359588
"Banteln",6,"08000796",9.75033,52.066264
"Bantorf",5,"08000797",9.417771,52.332253
"Barbelroth",7,"08000802",8.070307,49.104118
"Bardowick",6,"08000801",10.371994,53.290469
"Bargteheide",4,"08000804",10.269104,53.7282
"Barleben",6,"08011111",11.620875,52.208945
"Barleber See",6,"08011112",11.640852,52.214328
"Barmbek",4,"08000805",10.044164,53.587458
"Barnstorf (Han)",5,"08000807",8.510462,52.707587
"Barnten",6,"08000808",9.815279,52.195498
"Barrien",6,"08000810",8.818506,52.946837
"Barsinghausen",5,"08000812",9.467112,52.30489
